dataset,reduction_method,clustering_model,reduction_runtime,clustering_runtime,dbi,chi,ari,f_measure,n_clusters,n_components,max_iterations,tolerance,random_state,metric,algorithm,min_samples,xi,min_cluster_size,kernel,gamma
mushroom,kernel_pca,global_kmeans,,7.075262069702148,0.9077429909489115,1112.344153498426,0.022576212227377702,0.5017503463038482,2,4,100,0.001,4,,,,,,poly,0.1
mushroom,kernel_pca,global_kmeans,,6.804932117462158,0.8312942788274037,1254.472376252331,0.022576212227377702,0.5017503463038482,2,4,100,0.001,4,,,,,,poly,1
mushroom,kernel_pca,global_kmeans,,6.837353944778442,0.9156636590129198,1006.4442923831323,0.022576212227377702,0.5017503463038482,2,4,100,0.001,4,,,,,,rbf,0.1
mushroom,kernel_pca,global_kmeans,,10.394098043441772,0.6713577841101801,1438.9065661156644,0.030422455764850524,0.5207407039419757,2,4,100,0.001,4,,,,,,rbf,1
mushroom,kernel_pca,optics,,3.437864065170288,1.0886538522555476,93.57186634238543,0.009601402129520663,1.6938243165418885e-05,252.0,10,,,,euclidean,ball_tree,10,0.1,5,poly,0.1
mushroom,kernel_pca,optics,,3.406714916229248,1.0550499307129544,52.49472009843431,0.042311273233409046,0.00011842903880031383,253.0,10,,,,euclidean,ball_tree,10,0.1,5,poly,1
mushroom,kernel_pca,optics,,3.415493965148926,0.977129437045863,79.33180857000063,0.02405641727196042,1.5427099242529427e-05,246.0,10,,,,euclidean,ball_tree,10,0.1,5,rbf,0.1
mushroom,kernel_pca,optics,,3.4152231216430664,13.486483814288043,98.46997820881346,0.004258183737197319,3.269028109340387e-05,275.0,10,,,,euclidean,ball_tree,10,0.1,5,rbf,1
mushroom,kernel_pca,optics,,3.5205910205841064,1.1944984804735155,72.94001613922556,0.006668756272917683,1.3858562589888177e-05,308.0,11,,,,euclidean,ball_tree,10,0.1,5,poly,0.1
mushroom,kernel_pca,optics,,3.565484046936035,1.134309023785141,67.57028640055952,0.01640724894129043,9.219245174301354e-05,325.0,11,,,,euclidean,ball_tree,10,0.1,5,poly,1
mushroom,kernel_pca,optics,,3.485527992248535,1.4143073722113237,72.26384736103509,0.02625718790579957,0.0001036766325829737,289.0,11,,,,euclidean,ball_tree,10,0.1,5,rbf,0.1
mushroom,kernel_pca,optics,,3.539370059967041,1.4912875178332154,86.57770037404516,0.006433589613225027,3.2454250182982185e-05,277.0,11,,,,euclidean,ball_tree,10,0.1,5,rbf,1
mushroom,kernel_pca,optics,,3.7711029052734375,1.8183159896914554,122.55443841702564,0.04239992089694419,0.00011264115344541128,266.0,12,,,,euclidean,ball_tree,10,0.1,5,poly,0.1
