dataset,model,runtime,dbi,chi,ari,f_measure,n_clusters,fuzzyness,max_iterations,tolerance,random_state,strictness,min_obs,max_depth,metric,algorithm,min_samples,xi,min_cluster_size,n_neighbors,affinity,eigen_solver,assign_labels
hepatitis,fuzzy_cmeans,0.0108850002288818,2.404637040655331,17.24611175289391,0.04664305830574101,0.11223263638548425,8,3,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0064301490783691,2.2760181027259576,17.90535464215558,0.04112655931668353,0.11742925948223962,8,4.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0095829963684082,2.6034353701572908,16.856859122196248,0.048177019075249176,0.09325013789299504,8,4,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0073862075805664,2.157934841309661,17.56176837793521,0.024043946240464395,0.10996503496503496,8,5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0023090839385986,2.171778394004074,14.895283483988353,0.04665228232556422,0.11293436293436294,9,1.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0073359012603759,2.1727777813807405,16.475758916331497,0.01809723634514051,0.08441336441336442,9,2.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0054461956024169,1.8715861496740536,16.73769121635573,0.08685787091264505,0.11594202898550725,9,2,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.007681131362915,1.9544554475478075,17.65515559025426,0.039160253774305355,0.0988199384078707,9,3.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0070350170135498,2.221458096129177,16.812309901687147,0.018088304017601534,0.0784802043422733,9,3,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0079281330108642,2.095567667175088,17.20671357565082,0.043394112797876104,0.09573099415204678,9,4.5,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0100753307342529,2.7272636209556347,16.47546339738613,0.03471022437577465,0.08846346346346347,9,4,,,,,,,,,,,,,,,
hepatitis,fuzzy_cmeans,0.0073528289794921,1.8667737913113163,16.729092476577343,0.04158134521637912,0.09470471207042215,9,5,,,,,,,,,,,,,,,
hepatitis,global_kmeans,0.4236948490142822,1.6612104935291772,16.512653286762045,0.09857171974060605,0.10965799614643545,10,,100,0.0001,1,,,,,,,,,,,,
hepatitis,global_kmeans,0.4251949787139892,1.6612104935291772,16.512653286762045,0.09857171974060605,0.10965799614643545,10,,100,0.0001,2,,,,,,,,,,,,
hepatitis,global_kmeans,0.4260339736938476,1.6612104935291772,16.512653286762045,0.09857171974060605,0.10965799614643545,10,,100,0.0001,3,,,,,,,,,,,,
hepatitis,global_kmeans,0.4256899356842041,1.6612104935291772,16.512653286762045,0.09857171974060605,0.10965799614643545,10,,100,0.0001,4,,,,,,,,,,,,
hepatitis,global_kmeans,0.4253089427947998,1.6612104935291772,16.512653286762045,0.09857171974060605,0.10965799614643545,10,,100,0.0001,5,,,,,,,,,,,,
hepatitis,global_kmeans,0.4252030849456787,1.6612104935291772,16.512653286762045,0.09857171974060605,0.10965799614643545,10,,100,0.001,1,,,,,,,,,,,,
hepatitis,global_kmeans,0.4242868423461914,1.6612104935291772,16.512653286762045,0.09857171974060605,0.10965799614643545,10,,100,0.001,2,,,,,,,,,,,,
hepatitis,global_kmeans,0.4364550113677978,1.6612104935291772,16.512653286762045,0.09857171974060605,0.10965799614643545,10,,100,0.001,3,,,,,,,,,,,,
hepatitis,global_kmeans,0.4304590225219726,1.6612104935291772,16.512653286762045,0.09857171974060605,0.10965799614643545,10,,100,0.001,4,,,,,,,,,,,,
hepatitis,global_kmeans,0.4307389259338379,1.6612104935291772,16.512653286762045,0.09857171974060605,0.10965799614643545,10,,100,0.001,5,,,,,,,,,,,,
